WK_KCPDFirearmsQual | Техника хвата обведена красными чернилами. | Тренирует: Точность
WK_BaseballSwingRef | Тренерская карточка юношеской лиги: стойка и завершение удара. | Тренирует: Длин. тупое
WK_DemolitionHandToolRef | Хват кувалды и замах при контролируемом сносе. | Тренирует: Длин. тупое
WK_GolfSwingRef | Схемы вращательной физики дальнего удара в гольфе. | Тренирует: Длин. тупое
WK_CrowbarApplicationsRef | Руководство подрядчика по точкам рычага при разборке. | Тренирует: Длин. тупое
WK_KDFWRPrimitiveWeapons | Подробные заметки об ограничениях примитивного снаряжения. | Тренирует: Копья
WK_JavelinCoachingRef | Школьное руководство по работе ног и хвату при метании. | Тренирует: Копья
WK_AtlatlSpearRef | Руководство школы выживания по сохранению прямизны древка. | Тренирует: Копья
WK_StageCombatSpearRef | Сохранение дистанции и работа ног при театральных выпадах. | Тренирует: Копья
WK_ASTMMaterialSpecRef | Марки стали, твёрдость и диапазоны термообработки. | Тренирует: Кузнечное дело
WK_ForgeHeatTreatGuide | Закалочные среды и цвета отпуска при кузнечных работах. | Тренирует: Кузнечное дело
WK_IndustrialMetalworkRef | Свойства металлов и скорости резания при обработке. | Тренирует: Кузнечное дело
WK_BlacksmithGuildStandards | Допуски посадки для проушин молотов, бородков и хомутов. | Тренирует: Кузнечное дело
WK_LumberYardManual | Безопасность на лесопилке и руководство по сортировке пиломатериалов. | Тренирует: Строительство
WK_SpanTablesRef | Таблицы AWC пролётов балок, стропил и расчётных нагрузок. | Тренирует: Строительство
WK_FinishCarpentryNotes | Заметки по стыкам отделки и подрезке. Рукописные пометки. | Тренирует: Строительство
WK_NDSWoodConstruction | Узлы деревянных конструкций и схемы крепёжных элементов. | Тренирует: Строительство
WK_FramingSquareCard | Карточка по уклону кровли, тетивам лестниц и раскладке стропил. | Тренирует: Строительство
WK_WoodenHandleShaftRef | Выбор древесины и формовка для рукояток и древков инструментов. | Тренирует: Резьба
WK_FieldExpedientToolRef | Изготовление инструментов из дерева и кости ножом в полевых условиях. | Тренирует: Резьба
WK_ArchaeologicalToolNotes | Университетские заметки по насадке и производству костяных орудий. | Тренирует: Резьба
WK_TrapperBoneToolRef | Руководство охотника по костяным шильям и деревянным застёжкам. | Тренирует: Резьба
WK_KnifeHandleFittingRef | Выбор дерева и формовка для изготовления рукоятки ножа. | Тренирует: Резьба
WK_HACCPFoodSafetyPlan | Критические контрольные точки и температурные журналы коммерческой кухни. | Тренирует: Готовка
WK_TempTimeControlChart | Безопасные температуры хранения и минимумы тепловой обработки. | Тренирует: Готовка
WK_LineCookStationRef | Мизансцен и работа с заказами на горячей раздаче. | Тренирует: Готовка
WK_SauceStockLog | Базовые рецепты бульонов и масштабирование партий для ресторана. | Тренирует: Готовка
WK_ServSafeRef | Температурный контроль и правила перекрёстного заражения. | Тренирует: Готовка
WK_NECArticleRef | Наиболее цитируемые статьи ПУЭ. Карманный справочник монтажника. | Тренирует: Электроника
WK_WireGaugeAmpacityRef | Сечение проводников и номиналы автоматов по типу цепи. | Тренирует: Электроника
WK_OSHAElectricalSafety | Требования к блокировке и СИЗ при работе в зоне дуговой вспышки. | Тренирует: Электроника
WK_ConduitFillRef | Нормы заполнения труб и коробок по сечению проводника. | Тренирует: Электроника
WK_PanelInspectionChecklist | Расчёт нагрузок и маркировка цепей по нормативным требованиям. | Тренирует: Электроника
WK_GlassAnnealingRef | Кривые отжига по типу и толщине стекла. | Тренирует: Стеклоделие
WK_FloatGlassManufRef | Температура оловянной ванны и скорость вытяжки флоат-стекла. | Тренирует: Стеклоделие
WK_KilnFormingRef | Температуры спекания и таблицы совместимости КТР для студии. | Тренирует: Стеклоделие
WK_LithicTechnologyRef | Ударная и давленая ретушь с диаграммами угла площадки. | Тренирует: Обработка кремня
WK_PrimitiveSkillsKnappingRef | Оценка сырья по звуку скола и раковистому излому. | Тренирует: Обработка кремня
WK_LithicAnalysisStandards | Классификация кремнёвых орудий по технике и следам использования. | Тренирует: Обработка кремня
WK_MortarMixRef | Рецептура растворов и требования к твердению по назначению. | Тренирует: Каменная кладка
WK_ASTMC90MasonryRef | Прочность и размерные допуски бетонных кладочных блоков. | Тренирует: Каменная кладка
WK_BrickBlockInspectionRef | Профили швов и допуски перевязки при каменной кладке. | Тренирует: Каменная кладка
WK_ConcreteMixRef | Водоцементные отношения и осадка конуса по назначению. | Тренирует: Каменная кладка
WK_OBDIICodeRef | Диагностические коды OBD-II по системам. Потрёпанный. | Тренирует: Автомеханика
WK_TorqueSpecsRef | Моменты затяжки крепежа по марке и системе автомобиля. | Тренирует: Автомеханика
WK_BrakeServiceRef | Минимумы роторов, осмотр и прокачка тормозов. | Тренирует: Автомеханика
WK_AutoElecDiagRef | Поиск обрывов проводки и проверка электрокомпонентов. | Тренирует: Автомеханика
WK_FleetMaintenanceLog | Межсервисные интервалы, спецификации жидкостей и бланки осмотра. | Тренирует: Автомеханика
WK_KilnFiringScheduleRef | Скорости набора температуры и кривые охлаждения печей. | Тренирует: Гончарное дело
WK_GlazeChemistryRef | Соотношения флюсов и проценты красителей по типу глазури. | Тренирует: Гончарное дело
WK_ClayBodyFormulationRef | Усадка и совместимость конусов для керамических масс. | Тренирует: Гончарное дело
WK_PatternGradingRef | Правила градации лекал для масштабирования производственных выкроек. | Тренирует: Шитьё
WK_IndustrialSewingRef | Натяжение нити и параметры строчки по плотности ткани. | Тренирует: Шитьё
WK_FiberFabricRef | Поведение ткани и припуски на швы по типу материала. | Тренирует: Шитьё
WK_GarmentQualityRef | Прочность швов и допуски конструкции одежды. | Тренирует: Шитьё
WK_AWSD11WeldingRef | Полевая карточка стандарта конструкционной сварки AWS. | Тренирует: Газосварка
WK_WeldingProcSpecRef | Аттестованные процедуры сварки, предварительный подогрев и контроль. | Тренирует: Газосварка
WK_ElectrodeFillMetalRef | Типы электродов по основным металлам и положениям сварки. | Тренирует: Газосварка
WK_WeldInspectionRef | Стандарты визуального контроля и классификация дефектов швов. | Тренирует: Газосварка
WK_OSHAWeldingSafety | Вентиляция, пожарный надзор и СИЗ при сварочных работах. | Тренирует: Газосварка
WK_KnoxExtensionGuide | Календари посева и борьба с вредителями в округе Нокс. | Тренирует: Фермерство
WK_SoilTestInterpretRef | Интерпретация анализов почвы и расчёт извести и удобрений. | Тренирует: Фермерство
WK_PesticideApplicationRef | Нормы внесения и СИЗ по классу химикатов. | Тренирует: Фермерство
WK_IrrigationSchedulingRef | Таблицы эвапотранспирации и целевые показатели влажности почвы. | Тренирует: Фермерство
WK_LivestockHealthRef | Жизненные показатели и признаки болезней по видам скота. | Тренирует: Уход за животными
WK_VaccinationDosageRef | Дозировки и сроки ожидания вакцин и препаратов по видам. | Тренирует: Уход за животными
WK_ReproductiveMgmtBinder | Даты случки и записи о родах скота. | Тренирует: Уход за животными
WK_KDALivestockRef | Правила мечения и транспортировки скота по нормам Минсельхоза. | Тренирует: Уход за животными
WK_USDAMeatGradingRef | Стандарты сортировки USDA на каждом инспектированном объекте. | Тренирует: Разделка
WK_PrimalSubPrimalRef | Последовательность разделки и обвалки туш по видам. | Тренирует: Разделка
WK_HACCPMeatProcessing | Критические контрольные точки и температурные журналы малых цехов. | Тренирует: Разделка
WK_LEFitnessStandardsRef | Таблицы оценки физической подготовки полиции и шерифа. | Тренирует: Бег
WK_FireAcademyFitnessRef | Нормативы аэробной подготовки пожарной академии. | Тренирует: Бег
WK_NIOSHLiftingRef | Федеральные нормы безопасного подъёма грузов на производстве. | Тренирует: Сила
WK_ManualMaterialsHandRef | Техника подъёма и оценка нагрузки при ручных работах. | Тренирует: Сила
WK_WorkplaceFirstAidSOP | СОП по обработке ран и противошоковым мерам на производстве. | Тренирует: Первая помощь
WK_CPRAEDRef | Соотношение компрессий СЛР, работа АНД и вспомогательное дыхание. | Тренирует: Первая помощь
WK_OSHAFirstAidRef | Обязательный набор и нормативы обученного персонала по OSHA. | Тренирует: Первая помощь
WK_EmergencyTriageRef | Протокол START и классификация приоритетов пострадавших. | Тренирует: Первая помощь
WK_KYFishingRegs | Сезоны, размерные и количественные ограничения по видам в Кентукки. | Тренирует: Рыболовство
WK_FishIdentificationRef | Определитель промысловых рыб Кентукки: чешуя, плавники, челюсти. | Тренирует: Рыболовство
WK_RiggingTackleRef | Узлы, поводки и сборка оснастки. Пятна от воды. | Тренирует: Рыболовство
WK_CommercialFishingSafetyRef | Береговая охрана: жилеты, сигналы и аварийные процедуры. | Тренирует: Рыболовство
WK_EdiblePlantsRef | Съедобные растения восточных лесов. Некоторые записи обведены. | Тренирует: Собирательство
WK_ToxicPlantRef | Опасные виды, похожие на съедобные растения. | Тренирует: Собирательство
WK_WildcraftHerbalistRef | Окна сбора и способы заготовки лесных растений. | Тренирует: Собирательство
WK_WildlifeTrackSignRef | Морфология следов и аллюры по видам животных. | Тренирует: Следопытство
WK_DeerMovementRef | Чтение рельефа и маршруты передвижения белохвостого оленя. | Тренирует: Следопытство
WK_KDFWRGameMgmtRef | Методы оценки популяций и среды обитания инспекторов KDFWR. | Тренирует: Следопытство
WK_WildlifeTrappingGuide | Типы ловушек KDFWR и их установка по целевым видам. | Тренирует: Звероловство
WK_FurbearerRef | Оценка качества шкур и оптимальные сроки добычи по видам. | Тренирует: Звероловство
WK_KDFWRTrapperRegs | Требования к законным установкам и ограничения по видам KDFWR. | Тренирует: Звероловство
WK_NRAPistolInstructorMan | Технический разбор идеального нажатия на спусковой крючок. | Тренирует: Точность
WK_BullseyeMatchProgramme | Инструкции по поражению движущихся мишеней под давлением. | Тренирует: Точность
WK_KYConcealedCarryGuide | Акцент на извлечении из кобуры без зацепов. | Тренирует: Точность
WK_FBIQualScorebook | Пометка: «Ни черта не попасть из этого нового ствола.» | Тренирует: Точность
WK_USPSARulebook | Правила смены мишеней от Ассоциации практической стрельбы США. | Тренирует: Точность
WK_BoyScoutRiflery | Рисунки от руки: устойчивая позиция лёжа. Выцветший. | Тренирует: Точность
WK_VietnamRiflemanNotes | На каждой странице: «следи за дыханием, морпех». | Тренирует: Точность
WK_HighPowerNewsletter | Советы опытных стрелков по учёту деривации и превышения. | Тренирует: Точность
WK_PoliceAcademyHandgun | Недели 4-6 полностью посвящены извлечению и смене магазина. | Тренирует: Перезарядка
WK_RevolverSpeedloaderCard | Техника «гравитационного сброса» для выброса стреляных гильз. | Тренирует: Перезарядка
WK_CombatShootingDrills | Контрольные нормативы и упражнения вхолостую. Пятна от кофе. | Тренирует: Перезарядка
WK_GunsmithStripping | Последовательность неполной разборки служебных пистолетов. | Тренирует: Перезарядка
WK_NavalGunnersManual | Процедуры обслуживания M9 и 1911 в условиях коррозии. | Тренирует: Перезарядка
WK_ShotgunReloadingCard | Техника перезарядки с боковой обоймой и 4 патронами. | Тренирует: Перезарядка
WK_RangemasterDrillBook | Продвинутые упражнения по устранению сложных задержек. Тиснёный герб. | Тренирует: Перезарядка
WK_GuardForceWeaponsManual | Процедура «боевой перезарядки» в тесном пространстве кабины. | Тренирует: Перезарядка
WK_TimberCruiserHandbook | Оценка древостоя и заметки по направлению валки. | Тренирует: Топоры
WK_AppalachianFellingNotes | Схемы рубки дерева против естественного наклона. | Тренирует: Топоры
WK_BoyScoutAxemanship | Базовые проверки надёжности посадки головки топора на топорище. | Тренирует: Топоры
WK_MountainRescueIceAxe | Самозадержание и вытаскивание из трещины ледником. | Тренирует: Топоры
WK_BackcountryHatchetCard | Эффективное V-образное удаление сучьев без заклинивания. | Тренирует: Топоры
WK_TechnicalRescueAxeRef | Вскрытие укреплённых преград ударами по угловым анкерам. | Тренирует: Топоры
WK_EngineCompanyAxeRef | Расчистка заваленных выходов синхронными ударами топоров. | Тренирует: Топоры
WK_KDFWRDeadwoodPamph | Чистая рубка для расчистки сектора обстрела без зацепов. | Тренирует: Топоры
WK_BushHogOperatorRef | Эксплуатация навесного косилочного агрегата и техника ВОМ. | Тренирует: Длин. режущее
WK_KYHighwayBrushControl | Техника крюка для кустарника без перенапряжения. | Тренирует: Длин. режущее
WK_CornDetasselingCard | Советы от руки по работе с тяжёлым инструментом на 10-часовой смене. | Тренирует: Длин. режущее
WK_AppalachianHerbalCutting | Определение направления волокна для чистого съёма с одного удара. | Тренирует: Длин. режущее
WK_StateParksTrailCrew | Техника удаления нависающих веток без заклинивания клинка. | Тренирует: Длин. режущее
WK_KaiserBladeFieldRef | Удары с помощью гравитации тяжёлым двусторонним кустарным крюком. | Тренирует: Длин. режущее
WK_SCAHeavyFightCard | Тренировочная карточка Общества креативного анахронизма. | Тренирует: Длин. режущее
WK_CaneCuttingManual | Удар с низкой опорой: срубить толстый стебель у основания. | Тренирует: Длин. режущее
WK_LarpFightChoreography | Основы блокировки крест-гардой и переходы между зонами удара. | Тренирует: Длин. режущее
WK_JewelersFileCard | Выбор номера надфиля для точной доводки деталей механизмов. | Тренирует: Прочность
WK_ShopApprenticeToolLog | Ежедневный чек-лист смазки деревянных рукояток для защиты от трещин. | Тренирует: Прочность
WK_BarberRazorStropping | Техника правки бритвы на кожаном и полотняном ремне. | Тренирует: Прочность
WK_ScoutTroopToolCare | Рисунок от руки: правка тупого топорика круглым бруском. | Тренирует: Прочность
WK_BladesmithToolCare | Уход за зеркалом наковальни и профилями молотов. | Тренирует: Прочность
WK_BowSawSetGuide | Точные углы напильника для продольных и поперечных зубьев. | Тренирует: Прочность
WK_AntiqueDealerCare | Заметки по сохранению патины и защите от ржавчины. | Тренирует: Прочность
WK_SushiChefKnifeBook | Искусство тянущего реза одним движением без повреждения белка. | Тренирует: Короткий клинок
WK_TaxidermistCapingRef | Снятие шкуры с хвостов и ушей без прокола. | Тренирует: Короткий клинок
WK_EMTRescueKnifeCard | Перерезание ремней безопасности зазубренным лезвием. | Тренирует: Короткий клинок
WK_ButchersBoningGuide | Горячая обвалка: снятие мяса с ещё тёплой туши. | Тренирует: Короткий клинок
WK_SurgeonScalpelRef | Хват карандашом и кончиками пальцев для разной глубины разреза. | Тренирует: Короткий клинок
WK_ScoutCampcraftKnife | Памятка инструктора по обращению с ножом в лагере. | Тренирует: Короткий клинок
WK_UFCWCutleryTechRef | Стандартные углы запястья для защиты от травм при нарезке. | Тренирует: Короткий клинок
WK_KnifemakerTestCutLog | Результаты испытания геометрии кромки по типу стали. | Тренирует: Короткий клинок
WK_NorthwoodsFilletCard | Техника удаления Y-образной кости при чистке северной щуки. | Тренирует: Короткий клинок
WK_NightstickTrainingMan | Протоколы безопасности при применении дубинки и способы ношения. | Тренирует: Кор. тупое
WK_RailroadSpikeMaul | Механика полного дугового маха для максимальной кинетической энергии. | Тренирует: Кор. тупое
WK_AutoBodyHammerNotes | Планирующие удары для выравнивания металлических поверхностей. | Тренирует: Кор. тупое
WK_ProductionFramerCard | Поддержание ритма ударов для повышения производительности. | Тренирует: Кор. тупое
WK_BlacksmithHammerCard | Угол молота по толщине заготовки. | Тренирует: Кор. тупое
WK_MasonsHammerRef | Специализированные торцы молотка для детальной обколки камня. | Тренирует: Кор. тупое
WK_CaverHammerPickRef | Инструкция NSS по работе с молотком и киркой спелеолога. | Тренирует: Кор. тупое
WK_RoofersFlashingCard | Пробивка чистых отверстий в хрупких материалах встроенным пробойником. | Тренирует: Кор. тупое
WK_TrackMaintenanceSledge | Схемы стандартной дуги для забивки путевых болтов. | Тренирует: Длин. тупое
WK_RiotBatonInstructorRef | Справочник по применению длинной дубинки при контроле толпы. | Тренирует: Длин. тупое
WK_CricketBowlersGuide | Механика подачи прямой рукой для сохранения скорости мяча. | Тренирует: Длин. тупое
WK_LacrosseCoachManual | Техника рычага для силовых проверок длинным поло. | Тренирует: Длин. тупое
WK_HockeyStickHandling | Нагрузка клюшки для бросков с максимальным изгибом. | Тренирует: Длин. тупое
WK_FirefighterHaliganRef | Техника создания зазора вилкой лома Хэллигана. | Тренирует: Длин. тупое
WK_LandClearingMaul | Использование веса головки: гравитация работает на нисходящем ударе. | Тренирует: Длин. тупое
WK_PulaskiSwingScale | Универсальный мах: переход между землеройной и рубящей дугой. | Тренирует: Длин. тупое
WK_KDFWRBowfishingRef | Техника быстрого прицеливания на мелководье. | Тренирует: Копья
WK_SCAPolearmRef | Исторические техники рычага древком в защитных стойках. | Тренирует: Копья
WK_CherokeeFishSpear | Традиционная техника трёхзубого острога для ловли на реке. | Тренирует: Копья
WK_TrackPoleVaultCard | Упражнения на силу хвата и координацию корпуса под нагрузкой. | Тренирует: Копья
WK_WWIIBayonetTraining | Архивные схемы парирования и упражнения на восстановление. | Тренирует: Копья
WK_KarateBoStaffMan | Управление личным пространством и дистанцией длиной шеста. | Тренирует: Копья
WK_ScoutsPolearmDemo | Основы переноски длинного снаряжения в положении «на руку». | Тренирует: Копья
WK_PrimitiveSpearfishing | Упреждение и компенсация сопротивления воды при броске. | Тренирует: Копья
WK_ABANANewsletter | Читательские заметки о выборе парового молота и высоте наковальни. | Тренирует: Кузнечное дело
WK_FarrierShoeingNotes | Углы посадки подковы и расположение гвоздей по форме копыта. | Тренирует: Кузнечное дело
WK_FrontierForgeRef | Чертежи кузни на мехах, построенной с нуля. | Тренирует: Кузнечное дело
WK_SteelmillProcessRef | Температурные журналы прокатного стана и степени обжатия. | Тренирует: Кузнечное дело
WK_KnifemakerForgeWeld | Дамасский пакет: количество слоёв, коэффициенты вытяжки, скрутка. | Тренирует: Кузнечное дело
WK_ScoutMetalwork | Контроль молота и управление огнём. Ковка гвоздя из прутка. | Тренирует: Кузнечное дело
WK_SwordsmithApprDiary | Неудачные скосы и температурные ошибки, исправления обведены красным. | Тренирует: Кузнечное дело
WK_ColonialIronworker | Подготовительные заметки на обороте: последовательность соединений. | Тренирует: Кузнечное дело
WK_SpoonCarvingNotes | Схемы чтения волокна на внутренних кривых для избежания сколов. | Тренирует: Резьба
WK_CountryCarversBook | Хваты ножа, давящий рез большим пальцем, стопорный рез с проектами. | Тренирует: Резьба
WK_ChipCarvingPattern | Справочник по геометрическим узорам плоскорельефной резьбы. | Тренирует: Резьба
WK_WaldenWoodcrafter | Выбор волокна для резьбы по сырому дереву. Ложка и скобель. | Тренирует: Резьба
WK_JuniorHighWoodshop | Безопасность инструментов и заточка стамески от знающего человека. | Тренирует: Резьба
WK_AppalachianFolkArt | Выбор дерева и грубая обдирка по традиции. Только то, что работает. | Тренирует: Резьба
WK_BowyerTilleringNotes | Заметки по процессу выверки само-лука. | Тренирует: Резьба
WK_SullivanCulinaryText | Бульоны, основные соусы и производные как рабочий справочник. | Тренирует: Готовка
WK_KYExtensionCookbook | Рецепты службы. Раздел консервирования охватывает стерилизацию. | Тренирует: Готовка
WK_ArmyMessHallSOP | Массовое приготовление для 100+ человек в полевых условиях. | Тренирует: Готовка
WK_SchoolCafeteriaRef | Нормы USDA и температуры. Таблицы калорий пригодны для нормирования. | Тренирует: Готовка
WK_PitBossBBQManual | Соревновательное барбекю по рецептам Мемфиса. | Тренирует: Готовка
WK_HeritageCookbook1957 | Рецепты для больших групп без холодильника. Замены отмечены. | Тренирует: Готовка
WK_TruckStopGriddleNotes | Разбивка температур и определение готовности по звуку на стали. | Тренирует: Готовка
WK_IBEWApprentBook | Упражнения по вводу, компоновке щита и прокладке труб. | Тренирует: Электроника
WK_ResWiringText | Монтаж жилой электросети от ввода до розетки комната за комнатой. | Тренирует: Электроника
WK_MotorControlSchem | Схемы управления трёхфазными электродвигателями. | Тренирует: Электроника
WK_TransformerNamePlate | Карточка идентификации и паспорта трансформатора. | Тренирует: Электроника
WK_GroundingBondingRef | Сечение заземляющих проводников по напряжению системы. Читать перед касанием. | Тренирует: Электроника
WK_KYStateLicensingMan | Тренировочные вопросы по ПУЭ: расчёт потерь напряжения и сечений. | Тренирует: Электроника
WK_UndergroundCableRef | Спецификации подземных кабелей и глубины прокладки. | Тренирует: Электроника
WK_PenlandStudioGlass | Заметки мастер-класса по реактивному стеклу в восстановительной среде. | Тренирует: Стеклоделие
WK_CorningEngineering | Оптический боросиликат: показатель преломления и допуски по напряжению. | Тренирует: Стеклоделие
WK_StainedGlassChurch | Реставрация свинцовой пайки для витража 1920-х годов. | Тренирует: Стеклоделие
WK_BorosilicateLampwork | Пайка стекло-металл и химия пламени против растрескивания. | Тренирует: Стеклоделие
WK_AntiqueBottleCollect | Определитель и датировка бутылок. Любительский уровень. | Тренирует: Стеклоделие
WK_KilnFusedJewelry | Подбор КТР и журналы праймера для полок по бренду стекла. | Тренирует: Стеклоделие
WK_TiffanyMethodRef | Калибры свинцовой пайки и соотношения припоя для изогнутых панелей. | Тренирует: Стеклоделие
WK_NeonSignBenders | Монтаж электродов, последовательность заправки газом и параметры бомбарда. | Тренирует: Стеклоделие
WK_BeadSocietyLampwork | Химия стеклянного прута и химия пламени горелки. Увлечённый любитель. | Тренирует: Стеклоделие
WK_CherokeeArrowhead | Стили выемок и карьеры восточной ветви. Запах сладкой травы. | Тренирует: Обработка кремня
WK_FieldArchKnapping | Биомеханика отжимной ретуши и предотвращение петлевых изломов. | Тренирует: Обработка кремня
WK_PrimBowhunterFlint | Последовательность насадки наконечников с натуральными клеями. | Тренирует: Обработка кремня
WK_AmateurArchPamph | Введение в отличие обработанного камня от природных изломов. | Тренирует: Обработка кремня
WK_ObsidianSourceRef | Археометрический справочник по источникам обсидиана. | Тренирует: Обработка кремня
WK_RendezvousMtnMan | Ретушь в лагерных условиях: выбор отбойника, рога, пород камня. | Тренирует: Обработка кремня
WK_KCMuseumLithicCat | Каталог для идентификации литических орудий музея Кентукки. | Тренирует: Обработка кремня
WK_BSAPrimitiveSurvival | Угол площадки, хват отбойника, защита глаз. Начало с нуля. | Тренирует: Обработка кремня
WK_ToolStoneQualityCard | Полевая карточка по качеству кремнистых пород. | Тренирует: Обработка кремня
WK_BIATraditionalBrick | Разбивка, рейка-порядовка и ведение углов: карманный справочник. | Тренирует: Каменная кладка
WK_StonecutterApprenNote | Раскол по слою, штыри и перья, отделка грубых поверхностей. | Тренирует: Каменная кладка
WK_ChimneySweepInspect | Определение класса креозота и осмотр от колпака до патрубка. | Тренирует: Каменная кладка
WK_HistoricPointingMan | Соотношения известкового раствора для расшивки: когда избегать портланда. | Тренирует: Каменная кладка
WK_ConcreteFinishersRef | Выбор момента для булавы и чтение цементного молочка до заглаживания. | Тренирует: Каменная кладка
WK_KCMasonsLocalNews | Советы мастеров по местному известняку и зимним растворам. | Тренирует: Каменная кладка
WK_FieldstoneWalls | Укладка поперечных камней и чтение полевого камня для устойчивой кладки. | Тренирует: Каменная кладка
WK_PavingStoneInstall | Уплотнение, глубина песчаной подушки и ограничители для мощения. | Тренирует: Каменная кладка
WK_ASEStudyGuide | Обзор восьми систем: от двигателя до трансмиссии. Закрывает пробелы. | Тренирует: Автомеханика
WK_KYVehicleInspection | Минимумы тормозных колодок, щуп протектора и нормы освещения. | Тренирует: Автомеханика
WK_BriggsStrattonRepair | Карбюратор, зажигание и зазоры клапанов малых двигателей. | Тренирует: Автомеханика
WK_DieselTroubleshoot | Дерево отказов: нет запуска, дым. Прокачка топлива и форсунок. | Тренирует: Автомеханика
WK_FordPickupShopMan | Проводка, КПП и мосты. Жирные отпечатки на разделе стартера. | Тренирует: Автомеханика
WK_ChevyTechServiceBull | Заводские исправления отказов малоблочных двигателей и КПП TH350. | Тренирует: Автомеханика
WK_TruckingFleetPMSched | Сервисные интервалы тяжёлых грузовиков, жидкости и листы приёмки. | Тренирует: Автомеханика
WK_UnivCeramicsText | Центровка, раскрытие, вытягивание и сужение: иллюстрированные схемы. | Тренирует: Гончарное дело
WK_PenlandWheelRef | Чтение толщины стенки на ощупь и давлением ребра на дно. | Тренирует: Гончарное дело
WK_RakuFiringNotes | Выбор момента открытия камеры восстановления. Запах дыма въелся. | Тренирует: Гончарное дело
WK_SaltGlazeStoneware | Момент засолки и загрузка печи для равномерного распределения паров. | Тренирует: Гончарное дело
WK_AppFolkPotteryPamph | Местная глина и рецепты зольной глазури горной традиции. | Тренирует: Гончарное дело
WK_StudioKilnRepair | Замена элементов, термопары и ремонт шамотного кирпича. | Тренирует: Гончарное дело
WK_CommercialPotteryProc | Литьё и формовка на шпинделе. Заметки о формах и плотности шликера. | Тренирует: Гончарное дело
WK_ChildrenPotteryLesson | Основы защипывания и лепки из жгута. Схемы понятные. | Тренирует: Гончарное дело
WK_BeginnerWheelNotes | Центровка, раскрытие и вытягивание для начинающих. Искренние зарисовки. | Тренирует: Гончарное дело
WK_SearsPatternCatalog | Таблицы градации и прибавок на свободу для кроя с нуля. | Тренирует: Шитьё
WK_CarhartUnionShop | Усиление закладными, тройная строчка, укрепление карманов. | Тренирует: Шитьё
WK_AlterationsTailorCard | Пределы ушивки, припуски на подгиб и подгонка рукава по шву. | Тренирует: Шитьё
WK_HomeEcSewingText | Припуски на швы, намётка и ручные стежки для начинающих. | Тренирует: Шитьё
WK_TheatricalCostumeShop | Адаптация манекена без выкройки и быстрая обработка для костюмов. | Тренирует: Шитьё
WK_HancockFabricsManual | Определение волокна по пробе огнём, плотность и уход за тканью. | Тренирует: Шитьё
WK_UpholstererGuide | Вязка пружин, натяжение ленты и ткань настила для рам. | Тренирует: Шитьё
