WK_KCPDFirearmsQual | Proper grip techniques are circled in red ink. | Trains: Aiming
WK_FramingHammerCard | Grip positions and nail-driving technique for framers. | Trains: Short Blunt
WK_PlumbingQuickClearRef | Plunger technique by fixture type and escalation steps. | Trains: Short Blunt
WK_BaseballSwingRef | Youth league coaching card: stance and follow-through. | Trains: Long Blunt
WK_DemolitionHandToolRef | Sledgehammer grip and swing for controlled demolition. | Trains: Long Blunt
WK_GolfSwingRef | Diagrams on the rotational physics of the long-game drive. | Trains: Long Blunt
WK_CrowbarApplicationsRef | Demolition contractor guide to pry tool leverage points. | Trains: Long Blunt
WK_KDFWRPrimitiveWeapons | Detailed notes on the limitations of primitive equipment. | Trains: Spear
WK_JavelinCoachingRef | High school guide for footwork and grip. | Trains: Spear
WK_AtlatlSpearRef | Survival school guide to ensure shaft remains straight. | Trains: Spear
WK_StageCombatSpearRef | How to maintain consistent spacing and footwork while executing theatrical lunges. | Trains: Spear
WK_ASTMMaterialSpecRef | Steel grades, hardness, and heat treatment ranges. | Trains: Blacksmithing
WK_ForgeHeatTreatGuide | Quenching media and tempering colors for forge work. | Trains: Blacksmithing
WK_IndustrialMetalworkRef | Metal properties and cutting speeds for metalworking. | Trains: Blacksmithing
WK_BlacksmithGuildStandards | Fit tolerances for hammer eyes, drift sizes, and collar fits. | Trains: Blacksmithing
WK_LumberYardManual | Lumber yard tool safety and material grading guide. | Trains: Carpentry
WK_SpanTablesRef | AWC joist span, rafter, and load calculation tables. | Trains: Carpentry
WK_FinishCarpentryNotes | Trim joint and coping notes. Handwritten margins. | Trains: Carpentry
WK_NDSWoodConstruction | Structural wood connections and fastener schedules. | Trains: Carpentry
WK_FramingSquareCard | Roof pitch, stair stringers, and rafter layout card. | Trains: Carpentry
WK_WoodenHandleShaftRef | Wood selection and shaping for tool handles and hafts. | Trains: Carving
WK_FieldExpedientToolRef | Survival school knife-based wood and bone tool making. | Trains: Carving
WK_ArchaeologicalToolNotes | University notes on hafting and bone tool production. | Trains: Carving
WK_TrapperBoneToolRef | Trapper's guide to bone awls and wooden toggles. | Trains: Carving
WK_KnifeHandleFittingRef | Wood selection and shaping for knife handle fabrication. | Trains: Carving
WK_HACCPFoodSafetyPlan | Commercial kitchen critical control points and temp logs. | Trains: Cooking
WK_TempTimeControlChart | Safe holding temps and cooking minimums by protein. | Trains: Cooking
WK_LineCookStationRef | Mise en place setup and ticket-flow procedures for line cooks. | Trains: Cooking
WK_SauceStockLog | Restaurant base recipes and batch scaling for stocks. | Trains: Cooking
WK_ServSafeRef | Food handler temperature and cross-contamination rules. | Trains: Cooking
WK_NECArticleRef | Most-cited NEC articles. Every journeyman's pocket reference. | Trains: Electrical
WK_WireGaugeAmpacityRef | Conductor sizing and breaker ratings by circuit type. | Trains: Electrical
WK_OSHAElectricalSafety | Lockout/tagout and arc flash PPE requirements. | Trains: Electrical
WK_ConduitFillRef | Conduit and box fill limits by wire gauge. | Trains: Electrical
WK_PanelInspectionChecklist | Load calculations and circuit labeling code reference. | Trains: Electrical
WK_GlassAnnealingRef | Annealing curves by glass type and thickness. | Trains: Glassmaking
WK_FloatGlassManufRef | Tin bath temps and draw rates for float glass. | Trains: Glassmaking
WK_KilnFormingRef | Fusing temps and COE compatibility charts for studio work. | Trains: Glassmaking
WK_LithicTechnologyRef | Percussion and pressure flaking with platform angle diagrams. | Trains: Knapping
WK_PrimitiveSkillsKnappingRef | Evaluating raw stone by the knap test and conchoidal fracture. | Trains: Knapping
WK_LithicAnalysisStandards | Classifying knapped tools by technique and use-wear. | Trains: Knapping
WK_MortarMixRef | Mortar mix ratios and curing requirements by application. | Trains: Masonry
WK_ASTMC90MasonryRef | Concrete masonry unit strength and dimensional tolerances. | Trains: Masonry
WK_BrickBlockInspectionRef | Joint profiles and coursing tolerances for masonry work. | Trains: Masonry
WK_ConcreteMixRef | Water-cement ratios and slump specs by application. | Trains: Masonry
WK_OBDIICodeRef | OBD-II diagnostic codes organized by system. Well-worn. | Trains: Mechanics
WK_TorqueSpecsRef | Fastener torques by vehicle make and system. | Trains: Mechanics
WK_BrakeServiceRef | Rotor minimums, inspection, and bleed procedures. | Trains: Mechanics
WK_AutoElecDiagRef | Wiring fault tracing and electrical component testing. | Trains: Mechanics
WK_FleetMaintenanceLog | Fleet service intervals, fluid specs, and inspection forms. | Trains: Mechanics
WK_KilnFiringScheduleRef | Temperature ramp rates and cooling curves for kilns. | Trains: Pottery
WK_GlazeChemistryRef | Flux ratios and colorant percentages by glaze type. | Trains: Pottery
WK_ClayBodyFormulationRef | Shrinkage rates and cone compatibility for clay bodies. | Trains: Pottery
WK_PatternGradingRef | Garment grade rules for production pattern scaling. | Trains: Tailoring
WK_IndustrialSewingRef | Thread tension and stitch settings by fabric weight. | Trains: Tailoring
WK_FiberFabricRef | Fabric behavior and seam allowances by material type. | Trains: Tailoring
WK_GarmentQualityRef | Seam strength and construction tolerances for garments. | Trains: Tailoring
WK_AWSD11WeldingRef | American Welding Society structural code field reference card. | Trains: Welding
WK_WeldingProcSpecRef | Certified weld procedures, preheat, and inspection criteria. | Trains: Welding
WK_ElectrodeFillMetalRef | Electrode types matched to base metals and positions. | Trains: Welding
WK_WeldInspectionRef | Visual weld inspection standards and defect classification. | Trains: Welding
WK_OSHAWeldingSafety | Welding ventilation, fire watch, and PPE requirements. | Trains: Welding
WK_KnoxExtensionGuide | Knox County planting calendars and pest management. | Trains: Agriculture
WK_SoilTestInterpretRef | Reading soil tests and calculating lime and fertilizer. | Trains: Agriculture
WK_PesticideApplicationRef | Application rates and PPE requirements by chemical class. | Trains: Agriculture
WK_IrrigationSchedulingRef | Evapotranspiration tables and soil moisture targets. | Trains: Agriculture
WK_LivestockHealthRef | Vital signs and illness signs by farm animal species. | Trains: Animal Care
WK_VaccinationDosageRef | Species-specific dosing and withdrawal times for livestock. | Trains: Animal Care
WK_ReproductiveMgmtBinder | Livestock breeding dates and parturition records. | Trains: Animal Care
WK_KDALivestockRef | Department of Agriculture tagging and transport rules for livestock. | Trains: Animal Care
WK_USDAMeatGradingRef | USDA grading standards posted in every inspected facility. | Trains: Butchering
WK_PrimalSubPrimalRef | Carcass breakdown and fabrication sequences by species. | Trains: Butchering
WK_HACCPMeatProcessing | Small processor critical control points and temp logs. | Trains: Butchering
WK_LEFitnessStandardsRef | Police and sheriff fitness assessment scoring tables. | Trains: Running
WK_FireAcademyFitnessRef | Fire academy aerobic conditioning benchmarks. | Trains: Running
WK_NIOSHLiftingRef | Federal occupational safety lifting limits for warehouse and manufacturing. | Trains: Strength
WK_ManualMaterialsHandRef | Lift technique and load assessment for industrial work. | Trains: Strength
WK_WorkplaceFirstAidSOP | Standard operating procedure for wound care and shock response. | Trains: First Aid
WK_CPRAEDRef | CPR compression ratios, AED operation, and rescue breathing. | Trains: First Aid
WK_OSHAFirstAidRef | OSHA required supplies and trained responder ratios. | Trains: First Aid
WK_EmergencyTriageRef | START triage protocol and patient priority classification. | Trains: First Aid
WK_KYFishingRegs | Kentucky seasons, size limits, and bag limits by species. | Trains: Fishing
WK_FishIdentificationRef | Species keys for Kentucky game fish: scale, fin, and jaw features. | Trains: Fishing
WK_RiggingTackleRef | Knots, leader construction, and rig assembly. Water-stained. | Trains: Fishing
WK_CommercialFishingSafetyRef | Coast Guard flotation, flare, and emergency procedures for small vessels. | Trains: Fishing
WK_EdiblePlantsRef | Eastern woodland edibles. Some entries circled and starred. | Trains: Foraging
WK_ToxicPlantRef | Dangerous species that resemble edible plants. | Trains: Foraging
WK_WildcraftHerbalistRef | Harvest windows and preparation for woodland species. | Trains: Foraging
WK_WildlifeTrackSignRef | Track morphology and gait patterns by species. | Trains: Tracking
WK_DeerMovementRef | Terrain reading and travel corridors for whitetail deer. | Trains: Tracking
WK_KDFWRGameMgmtRef | Fish & Wildlife officer population assessment and habitat methods. | Trains: Tracking
WK_WildlifeTrappingGuide | KDFWR trap types and set construction by target species. | Trains: Trapping
WK_FurbearerRef | Pelt quality assessment and prime time by species. | Trains: Trapping
WK_KDFWRTrapperRegs | Fish & Wildlife Resources legal set requirements and species restrictions. | Trains: Trapping
WK_NRAPistolInstructorMan | Deeply technical breakdowns of the perfect trigger squeeze. | Trains: Aiming
WK_BullseyeMatchProgramme | Instructions for hitting moving targets under pressure. | Trains: Aiming
WK_KYConcealedCarryGuide | Heavy focus on drawing from a holster without snagging. | Trains: Aiming
WK_FBIQualScorebook | Annotated: 'I can't hit a damn thing with this new issue.' | Trains: Aiming
WK_USPSARulebook | Target transition rules from the US Practical Shooting Association. | Trains: Aiming
WK_BoyScoutRiflery | Hand-drawn diagrams for a steady prone position. Faded. | Trains: Aiming
WK_VietnamRiflemanNotes | Scribbled on every page: 'watch your breathing, Marine.' | Trains: Aiming
WK_HighPowerNewsletter | Old-timer tips on accounting for windage and elevation. | Trains: Aiming
WK_PoliceAcademyHandgun | Weeks 4 through 6 focus entirely on drawing and indexing a fresh mag. | Trains: Reloading
WK_RevolverSpeedloaderCard | Focuses on the 'gravity drop' technique for ejecting spent brass. | Trains: Reloading
WK_CombatShootingDrills | Par times and dry-practice drills. Coffee stained. | Trains: Reloading
WK_GunsmithStripping | Field-strip sequences for service-grade pistols. | Trains: Reloading
WK_NavalGunnersManual | Corrosion-resistant procedures for the M9 and the venerable 1911. | Trains: Reloading
WK_ShotgunReloadingCard | Side-saddle and 4-shell reload technique. | Trains: Reloading
WK_RangemasterDrillBook | Advanced drills for clearing complex double-feed malfunctions. Embossed crest. | Trains: Reloading
WK_GuardForceWeaponsManual | Procedures for a 'combat reload' within the tight confines of a truck. | Trains: Reloading
WK_TimberCruiserHandbook | Stand assessment and felling-direction notes. | Trains: Axe
WK_AppalachianFellingNotes | Hand-drawn diagrams for swinging a tree against its natural lean. | Trains: Axe
WK_BoyScoutAxemanship | Fundamental checks to ensure a secure head-to-shaft fit. | Trains: Axe
WK_MountainRescueIceAxe | Self-arrest technique and crevasse extraction. | Trains: Axe
WK_BackcountryHatchetCard | Efficient 'V-notch' limb removal to prevent binding the blade. | Trains: Axe
WK_TechnicalRescueAxeRef | Breaching reinforced barriers using targeted strikes on corner anchors. | Trains: Axe
WK_EngineCompanyAxeRef | Drills for clearing debris-blocked exits using synchronized axe-work. | Trains: Axe
WK_KDFWRDeadwoodPamph | Clean-cut techniques for clearing shooting lanes without snagging gear. | Trains: Axe
WK_BushHogOperatorRef | Tractor implement operation and PTO safety. | Trains: Long Blade
WK_KYHighwayBrushControl | Techniques for using a brush hook to clear thickets without over-extending. | Trains: Long Blade
WK_CornDetasselingCard | Handwritten tips on managing blade weight for 10-hour shifts in the sun. | Trains: Long Blade
WK_AppalachianHerbalCutting | Manual for identifying grain direction to ensure a clean, one-hit harvest. | Trains: Long Blade
WK_StateParksTrailCrew | Techniques for removing overhanging 'limbers' without the blade binding. | Trains: Long Blade
WK_KaiserBladeFieldRef | Gravity-assisted swing techniques for the heavy, double-edged bush hook. | Trains: Long Blade
WK_SCAHeavyFightCard | Society for Creative Anachronism practice card. | Trains: Long Blade
WK_CaneCuttingManual | The 'low-pivot' swing: how to sever thick stalks at the base with minimal effort. | Trains: Long Blade
WK_LarpFightChoreography | Basics of the 'cross-guard' block and transitioning between striking zones. | Trains: Long Blade
WK_JewelersFileCard | Selecting 'cut' grades for fine-tuning precision mechanical parts. | Trains: Maintenance
WK_ShopApprenticeToolLog | Daily checklist for oiling wooden handles to prevent cracking. | Trains: Maintenance
WK_BarberRazorStropping | Techniques for using leather and canvas strops to realign a rolled edge. | Trains: Maintenance
WK_ScoutTroopToolCare | Hand-drawn guide for using a puck-style stone on a dull hatchet. | Trains: Maintenance
WK_BladesmithToolCare | Maintaining the anvil face and hammer profiles for clean metalwork. | Trains: Maintenance
WK_BowSawSetGuide | Precise file angles for sharpening both rip and cross-cut saw teeth. | Trains: Maintenance
WK_AntiqueDealerCare | Patina retention and rust prevention notes. | Trains: Maintenance
WK_SushiChefKnifeBook | The art of the single-motion draw cut to prevent bruising the protein. | Trains: Short Blade
WK_TaxidermistCapingRef | Procedures for degloving tails and ears without piercing the hide. | Trains: Short Blade
WK_EMTRescueKnifeCard | Techniques for using the serrated edge to shear through seatbelts. | Trains: Short Blade
WK_ButchersBoningGuide | Techniques for hot boning: stripping meat from the carcass while still warm. | Trains: Short Blade
WK_SurgeonScalpelRef | Outlines the pencil-grip and fingertip-grip for varied incision depths. | Trains: Short Blade
WK_ScoutCampcraftKnife | Camp counselor knife handling pamphlet. | Trains: Short Blade
WK_UFCWCutleryTechRef | Standardized ergonomic wrist angles to prevent injury during repetitive slicing. | Trains: Short Blade
WK_KnifemakerTestCutLog | Edge geometry test results by steel type. | Trains: Short Blade
WK_NorthwoodsFilletCard | The 'Y-bone' removal technique for cleaning northern pike. | Trains: Short Blade
WK_NightstickTrainingMan | Safety protocols for batons and standardized carry methods. | Trains: Short Blunt
WK_RailroadSpikeMaul | The mechanics of the 'full-arc' swing for maximum kinetic energy. | Trains: Short Blunt
WK_AutoBodyHammerNotes | Describes using planishing strikes to smooth metal surfaces. | Trains: Short Blunt
WK_ProductionFramerCard | Methods for maintaining momentum to increase efficiency in high-volume framing. | Trains: Short Blunt
WK_BlacksmithHammerCard | Hammer-angle reference by stock thickness. | Trains: Short Blunt
WK_MasonsHammerRef | Using specialized hammer ends for detail-chipping on stone or tile. | Trains: Short Blunt
WK_CaverHammerPickRef | National Speleological Society tool handling. | Trains: Short Blunt
WK_RoofersFlashingCard | Using the integrated punch feature to create clean holes in brittle materials. | Trains: Short Blunt
WK_TrackMaintenanceSledge | Diagrams of the standardized arc for driving track bolts. | Trains: Long Blunt
WK_RiotBatonInstructorRef | Long baton crowd-control reference. | Trains: Long Blunt
WK_CricketBowlersGuide | The mechanics of the straight-arm delivery to maintain ball velocity. | Trains: Long Blunt
WK_LacrosseCoachManual | Leverage techniques for long-pole checks and defensive positioning. | Trains: Long Blunt
WK_HockeyStickHandling | Techniques for loading the stick to snap shots with maximum flex power. | Trains: Long Blunt
WK_FirefighterHaliganRef | Techniques on using the forked end to create a gap. | Trains: Long Blunt
WK_LandClearingMaul | Utilizing the weight of the head to let gravity do the work on the downstroke. | Trains: Long Blunt
WK_PulaskiSwingScale | The dual-purpose swing: transitioning between digging and chopping arcs. | Trains: Long Blunt
WK_KDFWRBowfishingRef | Techniques for quick-reaction aiming in shallow-water environments. | Trains: Spear
WK_SCAPolearmRef | Historical leverage techniques for using a long shaft for defensive positioning. | Trains: Spear
WK_CherokeeFishSpear | Three-prong leister technique for river-fishing tradition. | Trains: Spear
WK_TrackPoleVaultCard | Drills for grip strength and upper-body coordination under high-tension loads. | Trains: Spear
WK_WWIIBayonetTraining | Archival diagrams showing historical parrying stances and recovery drills. | Trains: Spear
WK_KarateBoStaffMan | Using the full length of the staff to manage personal space and distance. | Trains: Spear
WK_ScoutsPolearmDemo | Basics of the 'port-arms' carry for transporting long equipment. | Trains: Spear
WK_PrimitiveSpearfishing | How to lead a target and compensate for water resistance during a strike. | Trains: Spear
WK_ABANANewsletter | Back issues with reader-submitted notes on power hammer selection and anvil height. | Trains: Blacksmithing
WK_FarrierShoeingNotes | Fitting angles and nail placement by hoof conformation. | Trains: Blacksmithing
WK_FrontierForgeRef | Dimensioned drawings for a bellows-fed forge built from scratch. | Trains: Blacksmithing
WK_SteelmillProcessRef | Rolling mill temperature logs and reduction ratios for bar stock. | Trains: Blacksmithing
WK_KnifemakerForgeWeld | Pattern-welded billet: layer count, draw ratios, twist timing. | Trains: Blacksmithing
WK_ScoutMetalwork | Hammer control and fire management. Drawing a nail from bar stock. | Trains: Blacksmithing
WK_SwordsmithApprDiary | Failed bevels and heat disasters, corrections circled in red. | Trains: Blacksmithing
WK_ColonialIronworker | Back-page prep notes cover joinery sequences and fire management. | Trains: Blacksmithing
WK_SpoonCarvingNotes | Grain-reading diagrams for tear-out on inside curves. | Trains: Carving
WK_CountryCarversBook | Knife grips, thumb-push cuts, and stop cuts with dated projects. | Trains: Carving
WK_ChipCarvingPattern | Geometric chip carving pattern guide. | Trains: Carving
WK_WaldenWoodcrafter | Grain selection for green-wood carving. Scorp and inshave use. | Trains: Carving
WK_JuniorHighWoodshop | Tool safety and chisel sharpening written by someone who knew. | Trains: Carving
WK_AppalachianFolkArt | Passed-down wood selection and rough-out. Just what works. | Trains: Carving
WK_BowyerTilleringNotes | Self-bow tillering process notes. | Trains: Carving
WK_SullivanCulinaryText | Stocks, mother sauces, and derivatives as working reference. | Trains: Cooking
WK_KYExtensionCookbook | Extension recipes. Preserving section covers canning and cold storage. | Trains: Cooking
WK_ArmyMessHallSOP | Batch cooking for 100+ under field conditions. Faded mimeo. | Trains: Cooking
WK_SchoolCafeteriaRef | USDA portions and temps. Calorie tables work for rationing too. | Trains: Cooking
WK_PitBossBBQManual | Memphis-style competition BBQ manual. | Trains: Cooking
WK_HeritageCookbook1957 | Large-group recipes without refrigeration. Substitutions noted. | Trains: Cooking
WK_TruckStopGriddleNotes | Temperature staging and judging doneness by sound on steel. | Trains: Cooking
WK_IBEWApprentBook | Exercises for service-entrance, panel layout, and conduit runs. | Trains: Electrical
WK_ResWiringText | Room-by-room residential wiring sequences from service entrance to outlet. | Trains: Electrical
WK_MotorControlSchem | Three-phase motor control schematics. | Trains: Electrical
WK_TransformerNamePlate | Pad-mount transformer ID and rating card. | Trains: Electrical
WK_GroundingBondingRef | Grounding conductor sizing by system voltage. Read before touching. | Trains: Electrical
WK_KYStateLicensingMan | NEC practice questions. Voltage drop and conductor sizing drills. | Trains: Electrical
WK_UndergroundCableRef | Underground residential distribution cable specs and burial depths. | Trains: Electrical
WK_PenlandStudioGlass | Master-class notes on reactive glass under reduction atmospheres. | Trains: Glassmaking
WK_CorningEngineering | Optical borosilicate spec: refractive index and stress tolerances. | Trains: Glassmaking
WK_StainedGlassChurch | Lead came restoration for a 1920s sanctuary window. | Trains: Glassmaking
WK_BorosilicateLampwork | Glass-to-metal sealing and why flame chemistry prevents fractures. | Trains: Glassmaking
WK_AntiqueBottleCollect | Bottle ID and dating manual. Hobbyist. | Trains: Glassmaking
WK_KilnFusedJewelry | COE matching and shelf primer logs by glass brand. Methodical. | Trains: Glassmaking
WK_TiffanyMethodRef | Lead came gauges and solder ratios for curved panel construction. | Trains: Glassmaking
WK_NeonSignBenders | Electrode mounting, gas fill sequences, and bombarder settings for standard neon tubes. | Trains: Glassmaking
WK_BeadSocietyLampwork | Glass rod chemistry and torch flame chemistry. Earnest hobbyist. | Trains: Glassmaking
WK_CherokeeArrowhead | Eastern Band notching styles and source quarries. Sweetgrass scent. | Trains: Knapping
WK_FieldArchKnapping | Pressure flaking body mechanics and how to avoid hinge fractures. | Trains: Knapping
WK_PrimBowhunterFlint | Hafting sequences for trade-point replicas with natural adhesives. | Trains: Knapping
WK_AmateurArchPamph | Primer on identifying worked stone versus natural fracture patterns. | Trains: Knapping
WK_ObsidianSourceRef | Obsidian source archaeometric reference. | Trains: Knapping
WK_RendezvousMtnMan | Camp-context knapping: billet choice, antler flakers, stone types. | Trains: Knapping
WK_KCMuseumLithicCat | Knox County Museum lithic identification catalog. | Trains: Knapping
WK_BSAPrimitiveSurvival | Platform angles, hammerstone grip, eye protection. Starts at zero. | Trains: Knapping
WK_ToolStoneQualityCard | Cherty stone quality field card. | Trains: Knapping
WK_BIATraditionalBrick | Layout, story pole, and lead-building: the apprentice's pocket ref. | Trains: Masonry
WK_StonecutterApprenNote | Splitting along grain, plugs and feathers, finishing rough faces. | Trains: Masonry
WK_ChimneySweepInspect | Creosote class identification and cap-to-thimble inspection. | Trains: Masonry
WK_HistoricPointingMan | Lime mortar ratios for tuck pointing and when to skip portland. | Trains: Masonry
WK_ConcreteFinishersRef | Bull float timing and reading bleed water before troweling begins. | Trains: Masonry
WK_KCMasonsLocalNews | Trade tips on local limestone and freeze-thaw mortar mix ratios. | Trains: Masonry
WK_FieldstoneWalls | Through-stone placement and reading fieldstone for stable stacking. | Trains: Masonry
WK_PavingStoneInstall | Compaction, sand bed depth, and edge restraint for vehicular paving. | Trains: Masonry
WK_ASEStudyGuide | Eight-system breakdown: engine through drivetrain. Fills knowledge gaps. | Trains: Mechanics
WK_KYVehicleInspection | Brake minimums, tread gauges, and lighting compliance by system. | Trains: Mechanics
WK_BriggsStrattonRepair | Carburetor, ignition timing, and valve clearance for small engines. | Trains: Mechanics
WK_DieselTroubleshoot | Fault tree for no-start and smoke. Fuel priming and injector bleed. | Trains: Mechanics
WK_FordPickupShopMan | Wiring, transmission, and axle specs. Greasy fingerprints on starter. | Trains: Mechanics
WK_ChevyTechServiceBull | Factory corrections for late-80s small-block and TH350 failures. | Trains: Mechanics
WK_TruckingFleetPMSched | Heavy-truck service intervals with fluid specs and sign-off forms. | Trains: Mechanics
WK_UnivCeramicsText | Centering, opening, pulling, and collaring: illustrated sequences. | Trains: Pottery
WK_PenlandWheelRef | Reading wall thickness by feel and rib pressure for the floor. | Trains: Pottery
WK_RakuFiringNotes | Reduction chamber timing and when to pull. Smoke smell embedded. | Trains: Pottery
WK_SaltGlazeStoneware | Salt introduction timing and kiln loading patterns for even vapor distribution. | Trains: Pottery
WK_AppFolkPotteryPamph | Regional clay sourcing and local ash glaze recipes from mountain tradition. | Trains: Pottery
WK_StudioKilnRepair | Element swap, thermocouple, and soft brick patching for electric kilns. | Trains: Pottery
WK_CommercialPotteryProc | Slip casting and jigger sequences. Plaster mold and slip gravity notes. | Trains: Pottery
WK_ChildrenPotteryLesson | Pinch pot and coil-building fundamentals. Diagrams are clear. | Trains: Pottery
WK_BeginnerWheelNotes | Centering, opening, and pulling fundamentals. Earnest sketches. | Trains: Pottery
WK_SearsPatternCatalog | Grading tables and ease allowances for cutting from scratch. | Trains: Tailoring
WK_CarhartUnionShop | Bar-tacked stress points, triple-stitched seams, pocket reinforcement. | Trains: Tailoring
WK_AlterationsTailorCard | Take-in limits, hem allowances, and sleeve adjustment by seam type. | Trains: Tailoring
WK_HomeEcSewingText | Seam allowances, basting, and hand-stitches for first-time sewers. | Trains: Tailoring
WK_TheatricalCostumeShop | No-pattern sloper adaptation and quick-felling for period costumes. | Trains: Tailoring
WK_HancockFabricsManual | Fiber ID by burn test, fabric weights, and care label standards. | Trains: Tailoring
WK_UpholstererGuide | Spring tying, webbing tension, and deck fabric for upholstered frames. | Trains: Tailoring
WK_BridalSeamstressNotes | Letting out structured bodices without disturbing boning. Lace repair. | Trains: Tailoring
WK_AWSCertWelderManual | Practice tests for 3G and 4G: the welds most self-taught avoid. | Trains: Welding
WK_PipefittersWelding | Open-root pipe weld: key-hole, hood bead, vertical fill passes. | Trains: Welding
WK_AluminumMIGRef | Spool gun setup and pre-flow times for thin aluminum. | Trains: Welding
WK_UAWWeldingShopSOP | Fume extraction, fire watch, and hot-work permits for production shops. | Trains: Welding
WK_AutoBodyWeldingRef | Panel patch and plug weld spacing without burn-through on thin steel. | Trains: Welding
WK_StickRodSelectionGuide | 6011 vs 7018 selection guide. | Trains: Welding
WK_AerospaceTIGNotes | Inert atmosphere requirements and titanium pre-cleaning. | Trains: Welding
WK_FFAVocAgText | Field crop soil prep, transplanting, and fertility with livestock basics. | Trains: Agriculture
WK_KYExtensionAgBull | Pest and disease alerts for Knox County crops with scouting thresholds. | Trains: Agriculture
WK_UKAgEconNotes | Scribbled class notes. Conversion tables and yield estimation still apply. | Trains: Agriculture
WK_FertSpreaderCalCard | Spreader calibration field card. | Trains: Agriculture
WK_USDACropRotation | Two- and four-year corn-soybean and small grain sequences with nitrogen credit tables. | Trains: Agriculture
WK_NoTillFarmingMan | Reduced-tillage and cover crop sequences for soil-building. | Trains: Agriculture
WK_KYTobaccoGrowGuide | Float-bed seedlings, transplanting, and topping for air-cured leaf. | Trains: Agriculture
WK_RodaleOrganicPamph | Compost rates, cover crops, and IPM alternatives without modern inputs. | Trains: Agriculture
WK_KYCattlemensNews | Back pages: Q&A on treating pinkeye and foot rot without a vet. | Trains: Animal Care
WK_FFALivestockJudging | Body condition scoring and fault identification by species. | Trains: Animal Care
WK_TysonPoultryGrower | Ventilation, litter management, and feed conversion targets for broiler production. | Trains: Animal Care
WK_TrackVetDailyLog | Pre-race lameness scoring in a vet's handwriting. Bourbon-stained. | Trains: Animal Care
WK_SheepGoatBreeder | Kidding assistance, hoof trimming, and FAMACHA parasite scoring. | Trains: Animal Care
WK_SwineProductionMan | Ration formulation, farrowing crate, and weaning protocols for hogs. | Trains: Animal Care
WK_DairyHerdMgmt | Heat detection, breeding records, and parlor protocols. | Trains: Animal Care
WK_AgEdJudgingCard | Score sheet from a county FFA livestock contest. Coffee ring. | Trains: Animal Care
WK_UnionStockyardsCut | Beef splitting and primal breakdown optimized for tonnage, not looks. | Trains: Butchering
WK_DeerProcessorGuide | Skinning to vacuum-bag: quartering, deboning, aging notes. Game-blood smell. | Trains: Butchering
WK_SausageProductionNotes | Fat ratios and grind sequences for breakfast, summer sausage, pepperoni. | Trains: Butchering
WK_SmallSlaughterhouseSOP | Standard operating procedure for inspection cycles and carcass disposition. | Trains: Butchering
WK_KosherButcheringRef | Kashrut requirements and forequarter cuts. Hebrew margin notes. | Trains: Butchering
WK_CharcuterieProduction | Cure ratios and humidity targets for dry-cured products. | Trains: Butchering
WK_HolidayTurkeyCard | Scalding temps, pin feather, and evisceration for high-volume poultry. | Trains: Butchering
WK_CharcutierApprDiary | A year of salt percentages and failures, corrections circled in red. | Trains: Butchering
WK_WildGameProcessor | Skinning and deboning for deer, turkey, rabbit, squirrel, wild hog. | Trains: Butchering
